MB_3_1_1.p3d	mb3-1-1_01	Neříká ti něco jméno Karen Parker? Mělo by. Byla ti blízká - bývalá přítelkyně.
MB_3_1_1.p3d	mb3-1-1_02	Mám její adresu z toho notebooku. Dostaň se k ní dřív, než ji armáda nechá zmizet. Podívej, když tuhle stopu našla jsem, vsaď se, že ji najdou i oni.
MB_3_1_1.p3d	mb3-1-1_03	Alexi, buď opatrný.
MB_3_2_0.p3d	nis3-2_01	Karen Parker.
MB_3_2_0.p3d	nis3-2_03	Měla bych být.
MB_3_2_0.p3d	nis3-2_12	Teď se hlavně musíme dostat z vojenského kordonu.
MB_3_2_0.p3d	nis3-2_02	Myslela jsem, že jsi mrtvý.
MB_3_2_0.p3d	nis3-2_13	Musíš nám sehnat vozidlo - pokud možno vojenské. Jinak se z téhle čtvrti nedostaneme.
MB_3_2_1.p3d	mb3-2-1_01	O tom propuknutí nákazy už něco víme: působí tu dva genetické kmeny.
MB_3_2_1.p3d	mb3-2-1_02	Potřebuju vzorky obou typů, abych to dokázala léčit. Nejdřív musíš najít vzorky z nakažených vodních věží. Pak seženeš vzorky z plně vyvinutého hnízda.
MB_3_2_1.p3d	mb3-2-1_03	Vodní věže jsou hlavně v těchhle oblastech. Dostaň se tam, znič je a seber materiál. Pak zamiř do horní části města a získej materiál z hnízda.
MB_3_2_1.p3d	mb3-2-1_04	Ať se tu děje cokoli, tohle je teprve začátek.
MB_4_3_1.p3d	mb4-3-1_01	Myslím, že bych tě mohla dostat blízko k McMullenovi.
MB_4_3_1.p3d	mb4-3-1_01_2	Ve zprávách pořád dokola ukazují vědecké týmy BLACKWATCH, jak se objevují u hnízd.
MB_4_3_1.p3d	mb4-3-1_02	Ty týmy musí pracovat pro McMullena, ne?
MB_4_3_1.p3d	mb4-3-1_02_2	Pokud ano, aspoň jeden z nich bude vědět, jak se k němu dostat.
MB_4_3_1.p3d	mb4-3-1_02_3	Dostaň se do jedné z těch oblastí a vyláká McMullena.
MB_4_3_1.p3d	mb4-3-1_03	McMullen je klíč ke všemu.
MB_4_4_1.p3d	mb4-4-1_01	Ty vzorky, co jsi získal - pořád jich nemám dost.
MB_4_4_1.p3d	mb4-4-1_02	Potřebuju, abys šel dovnitř hnízda. Ta látka uprostřed, materiál, který virus produkuje - myslím, že je to klíč.
MB_4_4_1.p3d	mb4-4-1_03	S ní bych snad dokázala účinek viru zvrátit.
MB_4_4_1.p3d	mb4-4-1_04	A Alexi, i když to nic nezmění - je mi líto, že to muselo dopadnout takhle.
MB_4_4_1.p3d	mb4-4-1_05	Nelituj.
MB_4_4_1.p3d	mb4-4-1_06	Prostě to vyléč.
MB_5_3_1.p3d	mb5-3-1_01	Potřebujeme hostitele, kterého parazit nakazí. Ten hostitel bude produkovat protilátky.
