NIS_0_1_FMV.p3d	fmv0-1_700	Čisto.
NIS_0_1_FMV.p3d	fmv0-1_01	Jmenuji se Alex Mercer.
NIS_0_1_FMV.p3d	fmv0-1_02	Jsem důvodem toho všeho.
NIS_0_1_FMV.p3d	fmv0-1_03	Říkají mi vrah, monstrum, terorista.
NIS_0_1_FMV.p3d	fmv0-1_04	Jsem to všechno.
NIS_0_1_FMV.p3d	fmv0-1_05	Před třemi týdny někdo vypustil na Penn Station smrtící virus.
NIS_0_1_FMV.p3d	fmv0-1_06	Probudil jsem se v márnici.
NIS_0_1_FMV.p3d	fmv0-1_08	Teď loví­m... teď zabíjím, pohlcuji, stávám se.
NIS_0_1_FMV.p3d	fmv0-1_09	Zjistím, kdo mi tohle udělal.
NIS_0_1_FMV.p3d	fmv0-1_10	A donutím je za to zaplatit.
NIS_0_1_FMV.p3d	fmv0-1_70	Ghost Three Nine zemi, máte cíl na dohled? Přepínám.
NIS_0_1_FMV.p3d	fmv0-1_71	Negativní.
NIS_0_1_FMV.p3d	fmv0-1_72	Pomoc! Pomozte mi!!
NIS_0_1_FMV.p3d	fmv0-1_701	Ani hnout!
NIS_0_1_FMV.p3d	fmv0-1_702	Nehýbat se!
NIS_0_1_FMV.p3d	fmv0-1_11	Pěšáci! Palte!
NIS_0_1_FMV.p3d	fmv0-1_703	Čisto. Postupujte.
NIS_0_1_FMV.p3d	fmv0-1_704	Ty. Se mnou.
NIS_0_1_FMV.p3d	fmv0-1_705	Ji taky.
NIS_0_1_FMV.p3d	fmv0-1_73	To je on!
NIS_0_1_FMV.p3d	fmv0-1_706	Kde je váš velící důstojník?
NIS_0_1_FMV.p3d	fmv0-1_707	Pane, je na Times Square. Zavolám pro převo...
NIS_0_1_FMV.p3d	fmv0-1_710	To nebude nutné.
NIS_0_2_closing.p3d	fmv0-2_01	Máme míň než hodinu. Co dál?
NIS_0_2_closing.p3d	fmv0-2_02	Poslední člověk zodpovědný za tohle všechno dnes v noci zemře.
NIS_0_2_closing.p3d	fmv0-2_03	Jestli se odsud dostaneme živí. Myslíš, že jsi připravený?
NIS_0_2_closing.p3d	fmv0-2_04	Byl jsem na tohle stvořený.
NIS_0_2_fullcircle.p3d	fmv0-2_01	Máme míň než hodinu. Co dál?
NIS_0_2_fullcircle.p3d	fmv0-2_02	Poslední člověk zodpovědný za tohle všechno dnes v noci zemře.
NIS_0_2_fullcircle.p3d	fmv0-2_03	Jestli se odsud dostaneme živí. Myslíš, že jsi připravený?
NIS_0_2_fullcircle.p3d	fmv0-2_04	Byl jsem na tohle stvořený.
NIS_0_2_fullcircle.p3d	fmv0-2_05	Citadel Command, tady kapitán Cross.
NIS_0_2_fullcircle.p3d	fmv0-2_06	Mise splněna. Mám plukovníka Taggarta v zajetí. Připraven k evakuaci.
NIS_10-3a.p3d	fmv10-3_01	Hledal jsem pravdu. Našel jsem ji. Nelíbila se mi. Bůhví, jak moc bych chtěl na ni zapomenout.
NIS_10-3a.p3d	fmv10-3_02	Alex Mercer. Tohle město trpělo za jeho chyby, za to, co provedl na Penn Station. A ať už byl kýmkoli - je to část mě.
NIS_10-3a.p3d	fmv10-3_03	Když zavřu oči, vidím vzpomínky tisíce mrtvých mužů, jak křičí, zatímco jim beru životy. Okamžiky, které budu prožívat navěky.
NIS_10-3a.p3d	fmv10-3_04	Čím jsem se to stal? Něčím míň než člověkem. Ale i něčím víc.
NIS_10_3_FMV_nuke.p3d	nukefmv_01	Opusťte loď. Veškerá posádka, opusťte loď.
NIS_6-3_FMV.p3d	nis6-3_01	Kde je?
NIS_6-3_FMV.p3d	nis6-3_02	Teď je s námi.
NIS_6-3_FMV.p3d	nis6-3_03	Co sakra jsi?
NIS_6-3_FMV.p3d	nis6-3_04	Ten důvod.
NIS_6-3_FMV.p3d	nis6-3_05	Pro co?
NIS_6-3_FMV.p3d	nis6-3_06	Pro všechno.
NIS_6-3_FMV.p3d	nis6-3_10	UBLÍŽIL jsi mi.
NIS_6-4a_FMV.p3d	nis6-4a_01	Hej, hej. Dano!
woi/woi_ec1.p3d	woiec1_01	Pomsta byla jediná jasná myšlenka v mé hlavě. Jediná, o které jsem mohl říct, že je moje.
woi/woi_ec1.p3d	woiec1_02	Věděl jsem, že klíčem je Gentek. Dávalo to smysl. Pracoval jsem tam. Dana vyšetřovala jejich činnost. - A pak tu bylo Blackwatch.
woi/woi_ec1.p3d	woiec1_03	Ať už mě to změnilo cokoli... vymazalo mou minulost... muselo to začít tam.
woi/woi_ec1.p3d	woiec1_04	Myslel jsem, že když zjistím, kdo vedl Gentek, dřív než je Blackwatch taky vymaže, najdu svou minulost.
woi/woi_ec1.p3d	woiec1_05	Co sis myslel, že ti to přinese?
woi/woi_ec1.p3d	woiec1_06	Odpovědi. Chtěl jsem zjistit, co se mi stalo. Ten důvod. Někoho, koho můžu vinit. Někoho, koho můžu potrestat.
woi/woi_ec1.p3d	woiec1_07	Abych řekl pravdu, nikdy jsem nečekal, že ji najdu... Bůhví, jak moc bych si přál, abych nenašel.
woi/woi_ec2.p3d	woiec2_01	Říkal jsem ti - Karen a já jsme spolu kdysi byli. V mém bytě byly naše fotky. Aspoň předpokládám, že jsme to byli my.
woi/woi_ec2.p3d	woiec2_02	Karen pracovala v Genteku... Možná by mi vysvětlila, co se se mnou děje a jak to ovládat.
woi/woi_ec2.p3d	woiec2_03	Teď už vím... osvobodit Elizabeth Greenovou byla chyba. Byla to příšera, nakazila všechno, čeho se dotkla.
woi/woi_ec2.p3d	woiec2_04	Dostat se ke Greenové, zjistit, kdo mi tohle udělal. Myslel jsem, že je klíčem ke všemu.
woi/woi_ec2.p3d	woiec2_05	A byla?
woi/woi_ec2.p3d	woiec2_06	V jistém smyslu.
woi/woi_ec2.p3d	woiec2_07	Věděl jsem, že jsme propojení. Oběti společného nepřítele? Subjekty společného experimentu? Nevěděl jsem.
woi/woi_ec2.p3d	woiec2_08	Ale měl jsem Karen. A společně jsme tomu chtěli udělat přítrž.
woi/woi_ec3.p3d	woiec3_01	Všechno se zhoršovalo. Po celém městě propukala nákaza. Díky Greenové se teď objevili i Lovci. Blackwatch dal ostrov do karantény.
woi/woi_ec3.p3d	woiec3_02	Došlo mi, že McMullen - ředitel výzkumu v Genteku - nás všechny propojil.
woi/woi_ec3.p3d	woiec3_03	Pracoval pro Blackwatch. Studoval Greenovou. Karen a já jsme pro něj pracovali - víš, předtím.
woi/woi_ec3.p3d	woiec3_04	Věděl, kdo jsem - a možná - co se mi stalo.
woi/woi_ec3.p3d	woiec3_05	Myslel jsem si: až najdu McMullena, najdu sám sebe.
woi/woi_ec3.p3d	woiec3_06	No a co ti řekl?
woi/woi_ec3.p3d	woiec3_07	McMullen? Spoustu věcí.
woi/woi_ec3.p3d	woiec3_08	Některé z nich byly dokonce pravda.
woi/woi_ec3.p3d	woiec3_09	A pak?
woi/woi_ec3.p3d	woiec3_10	Pak? No, pak umřel.
woi/woi_ec4.p3d	woiec4_01	Bylo to dokonalé. Použili Karen, aby se dostali ke mně. Z genetického materiálu, který jsem nasbíral, vyrobili zbraň, kterou mě chtěli zničit.
woi/woi_ec4.p3d	woiec4_02	Než jsem zjistil, že pracuje pro Blackwatch, byla pryč.
woi/woi_ec4.p3d	woiec4_03	Ale měl jsem větší problém - zbraňová rakovina mě požírala zevnitř.
woi/woi_ec4.p3d	woiec4_04	Potřeboval jsem doktora. Zvláštní druh doktora. Potřeboval jsem Raglanda.
woi/woi_ec4.p3d	woiec4_05	Jaké to bylo, být nakažen něčím, co jsi nedokázal ovládat?
woi/woi_ec4.p3d	woiec4_06	Jako by mé vlastní tělo chtělo, abych byl mrtvý.
woi/woi_ec4.p3d	woiec4_07	Napadlo tě někdy, jak se cítil ten parazit? Inteligentní rakovina vytržená ze svého hostitele?
woi/woi_ec4.p3d	woiec4_08	Jo, napadlo. Jednou... těsně předtím, než jsem ji zabil.
woi/woi_ec5.p3d	woiec5_01	Netušil jsem, proč Greenová unesla mou sestru. Pomsta? Návnada do pasti? Věděl jsem jen jedno - musel jsem ji dostat zpátky.
woi/woi_ec5.p3d	woiec5_02	Tihle Nakažení jsou jako zvířata. Ale je v tom něco víc - jako skrytá ruka, co je řídí.
woi/woi_ec5.p3d	woiec5_02b	Hnízdní mysl se stala mou jedinou šancí. Byla to stopa, jak najít Danu - myslel jsem, že pohlcováním myslí nakažených dokážu sledovat to spojení a ono mě dovede k tomu, kdo ji unesl.
woi/woi_ec5.p3d	woiec5_05	Ale pak mi došlo... měl jsem prostředky... dostal jsem Blackwatch do kouta. Měl jsem jejich rakovinnou zbraň.
woi/woi_ec5.p3d	woiec5_05b	Mohl jsem tomu udělat přítrž přímo u zdroje, kdybych se dostal dost blízko ke Greenové.
woi/woi_ec5.p3d	woiec5_06	Takže najít Danu, zabít Greenovou, zastavit to šílenství. Stálo to za pokus.
woi/woi_ec5.p3d	woiec5_07	Podívej se teď na svoje dílo.
woi/woi_ec5.p3d	woiec5_08	Jo. Jsou bez hlavy. Armáda nakažených bez vůdce.
woi/woi_ec5.p3d	woiec5_09	Je jen otázkou času, kdy budou vyhlazeni.
woi/woi_ec5.p3d	woiec5_10	A co když jsou tam venku další vůdci?
woi/woi_ec5.p3d	woiec5_11	Ne... všichni jsou mrtví. Všichni. Kromě mě.
woi/woi_ec6.p3d	woiec6_01	Nejsem člověk.
woi/woi_ec6.p3d	woiec6_02	To odhalení. Osvobodilo mě. Zabilo mě.
woi/woi_ec6.p3d	woiec6_02b	Nejsem člověk. Alex je jen role, kterou hraju.
woi/woi_ec6.p3d	woiec6_03	Části mě se ulevilo. Část mě zemřela.
woi/woi_ec6.p3d	woiec6_04	Jen další převlek, že? Tak zažraný, tak skutečný, že mu věřím i já sám.
woi/woi_ec6.p3d	woiec6_06	Tehdy mi došlo, že jsem součástí toho všeho; odnož viru, který zasáhl Hope v devětašedesátém.
